Time,X,Y,Z
0.14965992004231804,0.1666655879302782,0.1666655879302782,0.1666655879302782
0.14971660560194458,0.1669079792347707,0.17193365332364896,0.166915399169283
0.14977329116157112,0.1676088385346853,0.17729007851901402,0.16733953810316227
0.14982997672119766,0.16874084332830536,0.18286784350427132,0.1679718366136455
0.14988666228082417,0.17029065780784539,0.18878865359371358,0.16886205652656014
0.1499433478404507,0.1722567565868514,0.19516517636501293,0.17007760730144167
0.15000003340007725,0.1746475842853094,0.20210185244671397,0.171706480868412
0.1500567189597038,0.1774798798264403,0.2096940085131468,0.1738612405925338
0.1501134045193303,0.18077697828138709,0.21802484522118148,0.17668388856714629
0.15017009007895685,0.18456687302152353,0.22715968863134472,0.18035131719018482
0.1502267756385834,0.18887977625481453,0.2371367005242025,0.18508079258129387
0.15028346119820993,0.19374485910718828,0.24795308748504974,0.19113446674072995
0.15034014675783647,0.19918579173455653,0.25954582722031877,0.19882121171629527
0.15039683231746298,0.20521465943642914,0.27176622054162575,0.20849306936280168
0.15045351787708952,0.21182384151482592,0.2843484673936052,0.22053234942208555
0.15051020343671603,0.21897557293268016,0.29687435914383226,0.23532411415183874
0.1505668889963426,0.22658926512073857,0.3087395128492195,0.2532080579162664
0.15062357455596914,0.23452736430580653,0.31913153790476334,0.27440479127239803
0.15068026011559565,0.24258167004884953,0.327036484904979,0.29891604519951726
0.1507369456752222,0.25046358212784003,0.3312945485998756,0.32640819970942636
0.1507936312348487,0.25780333434417796,0.33072458882103317,0.35610422704988015
0.15085031679447528,0.26416407252801727,0.3243233632408341,0.38672685495049197
0.1509070023541018,0.26907538454557295,0.3115156814334485,0.41654518522964595
0.15096368791372833,0.27208649885614894,0.2923919137899592,0.443563213894958
0.15102037347335484,0.2728320563724965,0.2678401846379178,0.4658423601597322
0.15107705903298138,0.2710956948495766,0.2394908170952998,0.481882853870003
0.15113374459260792,0.2668531016782242,0.20945359554789791,0.4909381970661915
0.15119043015223446,0.26028027085883887,0.17991950374602506,0.49314470655749354
0.151247115711861,0.25172383736922266,0.15276243990771365,0.48942200151593623
0.15130380127148751,0.24164318658225287,0.12926984718470586,0.48119803754957946
0.15136048683111405,0.2305419479153951,0.1100615920690474,0.47007358934510124
0.1514171723907406,0.21890633091585346,0.09517327394637162,0.4575370157342255
0.15147385795036714,0.20716140420134146,0.08423075083597617,0.4447895014425799
0.15153054350999368,0.19564834265623848,0.07663985582676824,0.4326840977478682
0.1515872290696202,0.18461959540649317,0.07174167016909819,0.4217469707933031
0.15164391462924673,0.1742461795595495,0.0689150824795161,0.4122409212983637
0.15170060018887327,0.16463127066209365,0.067630194151663,0.4042395302223276
0.1517572857484998,0.15582563523627305,0.0674657279439047,0.39769351110646156
0.15181397130812632,0.14784213870860913,0.06810457553902907,0.39248196945757174
0.15187065686775286,0.14066797095756453,0.06931859339352889,0.388448123952606
0.1519273424273794,0.13427418320895693,0.07094989871084792,0.38542219546669987
0.15198402798700594,0.12862266947180787,0.0728927146211789,0.38323497837342724
0.15204071354663248,0.12367097307622103,0.07507764226206275,0.38172526239996246
0.152097399106259,0.11937537013128684,0.07745896317477739,0.38074352805998163
0.15215408466588554,0.11569266174862791,0.08000492334045702,0.38015357873044475
0.15221077022551208,0.11258104838984824,0.08269067060603645,0.37983314865031653
0.15226745578513862,0.11000039123620504,0.08549343324828289,0.379674069735809
0.15232414134476513,0.10791210024723943,0.08838953098519618,0.37958227299668684
0.15238082690439167,0.10627883125102475,0.09135284315113457,0.3794777106585452
0.1524375124640182,0.10506412560771405,0.09435439617485235,0.37929418201518544
0.15249419802364475,0.10423208484444307,0.09736276610478027,0.3789790039455466
0.1525508835832713,0.10374713813126772,0.10034502254620917,0.37849246550950316
0.1526075691428978,0.10357393184704237,0.10326797168565578,0.37780702874930017
0.15266425470252434,0.10367734745630884,0.10609949127630466,0.37690627166076474
0.15272094026215086,0.10402263640069195,0.10880979072926844,0.3757836040621054
0.15277762582177742,0.10457564862632722,0.11137247369399,0.37444081552065156
0.15283431138140394,0.10530312446810197,0.11376532586817821,0.3728865323489843
0.15289099694103048,0.106173017358228,0.11597079361039557,0.3711346665544511
0.15294768250065702,0.1071548164076624,0.11797615579261722,0.36920293450147795
0.15300436806028353,0.10821984231226532,0.11977341974133342,0.36711150954432475
0.15306105361991007,0.1093414961766216,0.1213589909384008,0.3648818544166777
0.1531177391795366,0.11049544770149176,0.12273317560921214,0.36253575913603
0.15317442473916315,0.11165975588584225,0.12389957671781125,0.360094591432332
0.15323111029878966,0.11281492132065957,0.12486443917077224,0.35757875118889443
0.1532877958584162,0.11394387391569917,0.12563599136964637,0.3550073090820532
0.15334448141804274,0.11503190334485687,0.1262238196635389,0.3523978026871537
0.15340116697766928,0.11606654164484023,0.12663830137914814,0.34976616034037317
0.15345785253729582,0.11703740840398258,0.12689011210901188,0.347126723215677
0.15351453809692234,0.11793602905208624,0.12698981451289892,0.3444923384726471
0.15357122365654888,0.11875563615081597,0.12694752932804193,0.3418745000703849
